tld,is_suspicious_tld,url_count
com,0,1795
app,1,294
io,0,120
de,0,83
dev,0,74
click,1,50
me,0,43
net,0,43
cn,1,31
digital,0,30
org,0,28
site,1,28
one,0,27
br,0,26
co,0,23
cfd,0,23
ly,0,21
to,0,20
info,1,19
page,0,18
online,1,15
cc,1,12
live,1,11
link,0,11
67,0,10
pro,1,10
li,0,10
im,0,9
bio,0,9
top,1,9
xyz,1,8
ai,0,8
ru,1,8
gd,0,8
130,0,7
sbs,1,6
vip,0,6
za,0,6
se,0,6
it,0,5
12,0,5
ca,0,5
eu,0,5
24,0,4
ch,0,4
es,0,4
biz,1,4
lol,1,4
life,0,4
in,0,4
vn,0,4
us,0,4
icu,1,4
cyou,1,3
fr,0,3
world,0,3
pk,0,3
shop,1,3
jp,0,3
ae,0,3
email,0,3
space,1,3
tl,0,2
help,0,2
2,0,2
69,0,2
cl,0,2
pl,0,2
ph,0,2
website,1,2
uk,0,2
nl,0,2
la,0,2
id,0,2
kr,0,2
mx,0,2
cv,0,2
gmbh,0,2
gg,0,2
pt,0,2
media,0,2
hn,0,1
finance,0,1
ee,0,1
goog,0,1
gives,0,1
cz,0,1
ar,0,1
art,0,1
at,0,1
58,0,1
au,0,1
chat,0,1
cloud,0,1
is,0,1
nz,0,1
network,0,1
lt,0,1
marketing,0,1
ink,0,1
host,0,1
je,0,1
pe,0,1
so,0,1
si,0,1
sale,0,1
today,0,1
ua,0,1
tz,0,1
th,0,1
zw,0,1
