term,mean_tfidf
com,0.16551233354247485
google com,0.06257617928142455
google,0.0625636635615793
com drawings,0.06051058880640168
drawings,0.06051058880640168
docs,0.06010969045446038
docs google,0.05998858957249295
edit,0.057696040269857814
app,0.04709004476356039
weebly com,0.029762928919269984
weebly,0.029762928919269984
drawings edit,0.027813315524055054
web,0.02621598935387833
webcindario,0.023125814492327403
webcindario com,0.023125814492327403
html,0.023038699886816737
web app,0.022623497486881215
amp,0.02162076461011912
firebaseapp com,0.02137547201459212
firebaseapp,0.02137547201459212
www,0.019718579314179342
php,0.01743751428295442
login,0.014509101838031445
wallet,0.013426354615931014
dev,0.011741726065599006
